playerID,yearID,stint,inMater,Name,Age,teamID,lgID,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
riverre01,2020,1,1,Rene Rivera,36,NYM,NL,162,10,10,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0
hoskirh01,2020,1,1,Rhys Hoskins,27,PHI,NL,162,453,376,79,90,21,0,22,61,3,0,65,107,0,11,0,1,10
ruizri01,2020,1,1,Rio Ruiz,26,BAL,AL,162,500,452,60,100,26,0,21,74,3,4,42,115,2,1,2,3,10
brantro01,2020,1,1,Rob Brantly,30,SFG,NL,162,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refsnro01,2020,1,1,Rob Refsnyder,29,TEX,AL,162,83,74,10,15,3,0,0,4,0,0,5,26,0,2,0,2,0
grossro01,2020,1,1,Robbie Grossman,30,OAK,AL,162,470,409,56,97,27,4,18,55,17,2,49,98,4,11,0,1,4
perezro02,2020,1,1,Roberto Perez,31,CLE,AL,162,270,239,18,42,6,0,3,15,1,0,26,89,0,5,0,0,5
canoro01,2020,1,1,Robinson Cano,37,NYM,NL,162,446,415,55,124,21,0,22,69,1,0,25,69,2,3,0,3,16
chiriro01,2020,1,1,Robinson Chirinos,36,TOT,MLB,162,201,182,12,31,7,0,3,18,0,0,15,51,0,2,0,2,11
quinnro01,2020,1,1,Roman Quinn,27,PHI,NL,162,284,263,34,56,8,2,5,20,25,0,14,91,0,5,2,0,1
acunaro01,2020,1,1,Ronald Acuna Jr.,22,ATL,NL,162,495,401,102,98,25,0,31,68,17,2,84,143,4,9,0,1,8
guzmaro01,2020,1,1,Ronald Guzman,25,TEX,AL,162,211,192,24,46,3,2,9,22,2,0,17,58,0,2,0,0,1
torrero01,2020,1,1,Ronald Torreyes,27,PHI,NL,162,17,17,2,3,2,0,0,0,0,0,0,1,0,0,0,0,2
odorro01,2020,1,1,Rougned Odor,26,TEX,AL,162,363,336,37,59,11,0,22,67,1,2,20,111,0,3,0,4,5
tellero01,2020,1,1,Rowdy Tellez,25,TOR,AL,162,311,277,46,75,12,0,18,52,1,2,27,54,2,3,0,4,3
braunry02,2020,1,1,Ryan Braun,36,MIL,NL,162,345,315,35,72,16,2,18,59,3,0,19,70,0,5,0,2,13
cordery01,2020,1,1,Ryan Cordell,28,NYM,NL,162,20,20,0,3,0,0,0,0,2,0,0,7,0,0,0,0,0
goinsry01,2020,1,1,Ryan Goins,32,CHW,AL,162,25,23,9,1,0,0,0,1,0,0,2,3,0,0,0,0,0
jeffery01,2020,1,1,Ryan Jeffers,23,MIN,AL,162,152,136,13,36,1,0,7,17,0,0,12,45,0,4,0,0,1
lavarry01,2020,1,1,Ryan Lavarnway,32,MIA,NL,162,27,27,1,9,0,0,0,1,0,0,0,5,0,0,0,0,0
mcbrory01,2020,1,1,Ryan McBroom,28,KCR,AL,162,208,197,20,48,7,0,13,24,0,0,11,70,0,0,0,0,5
mcmahry01,2020,1,1,Ryan McMahon,25,COL,NL,162,473,422,56,91,15,2,20,61,1,2,43,154,0,5,0,3,10
mountry01,2020,1,1,Ryan Mountcastle,23,BAL,AL,162,343,309,31,96,12,0,12,53,1,2,27,76,0,3,0,4,5
ohearry01,2020,1,1,Ryan O'Hearn,26,KCR,AL,162,323,279,21,56,14,0,6,42,1,0,41,89,4,1,0,2,11
healyry01,2020,1,1,Ryon Healy,28,MIL,NL,162,17,17,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0
perezsa02,2020,1,1,Salvador Perez,30,KCR,AL,162,382,363,52,114,27,0,24,71,3,0,12,90,0,5,0,2,1
haggesa01,2020,1,1,Sam Haggerty,26,SEA,AL,162,132,122,17,31,9,0,3,15,8,0,10,38,0,0,0,0,0
hillisa01,2020,1,1,Sam Hilliard,26,COL,NL,162,279,256,32,54,6,4,13,25,7,0,22,97,0,1,0,0,1
huffsa01,2020,1,1,Sam Huff,22,TEX,AL,162,81,76,12,25,7,0,6,10,0,0,5,26,0,0,0,0,0
leonsa01,2020,1,1,Sandy Leon,31,CLE,AL,162,198,165,12,25,3,0,5,12,0,0,31,51,0,2,0,0,5
espinsa01,2020,1,1,Santiago Espinal,25,TOR,AL,162,162,147,23,38,9,0,1,15,2,0,11,40,0,0,2,2,3
heinesc01,2020,1,1,Scott Heineman,27,TEX,AL,162,132,126,15,21,7,0,3,17,6,0,6,28,0,0,0,0,2
kingesc01,2020,1,1,Scott Kingery,26,PHI,NL,162,304,276,30,47,12,0,8,18,1,0,23,84,0,3,2,0,3
schebsc01,2020,1,1,Scott Schebler,29,ATL,NL,162,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
