,GameID,Game.AwayTeamStartingPitcherID,Game.HomeTeamStartingPitcherID,Game.PointSpread,Game.OverUnder,Game.AwayTeamMoneyLine,Game.HomeTeamMoneyLine
2,50726.0,10000189.0,10005311.0,-1.5,7.5,195.0,-215.0
3,50736.0,10001031.0,10000981.0,-1.5,8.0,235.0,-255.0
4,50737.0,10001077.0,10005913.0,-1.5,7.5,138.0,-148.0
5,50734.0,10000247.0,10000001.0,1.5,8.5,-114.0,104.0
6,50727.0,10000117.0,10006466.0,-1.5,8.5,170.0,-180.0
7,50735.0,,,-1.5,8.5,101.0,-111.0
8,50733.0,10006353.0,10000986.0,-1.5,7.5,140.0,-150.0
9,50732.0,10008547.0,10000184.0,-1.5,8.0,175.0,-185.0
10,50728.0,10001150.0,10000931.0,1.5,9.0,-113.0,103.0
11,50731.0,10002098.0,10005835.0,-1.5,11.0,140.0,-150.0
12,50730.0,10000618.0,10002046.0,1.5,8.0,-225.0,205.0
13,50724.0,10000885.0,10008667.0,-1.5,9.0,158.0,-168.0
14,50729.0,10000794.0,10001345.0,-1.5,8.0,167.0,-174.0
0,50739.0,10001187.0,10000102.0,1.5,7.0,-132.0,122.0
1,50747.0,10000843.0,10000372.0,-1.5,7.0,133.0,-143.0
2,50743.0,10000066.0,10000426.0,-1.5,7.5,220.0,-240.0
3,50742.0,10000564.0,10001335.0,1.5,9.5,-131.0,121.0
4,50738.0,10001064.0,10000095.0,-1.5,7.5,103.0,-113.0
5,50740.0,10000977.0,10000335.0,-1.5,6.5,250.0,-275.0
6,50750.0,10000371.0,10001250.0,-1.5,8.0,130.0,-140.0
7,50745.0,10001629.0,10002058.0,-1.5,9.5,168.0,-178.0
8,50741.0,10003325.0,10007266.0,-1.5,7.5,-105.0,-105.0
9,50744.0,10005234.0,10001243.0,-1.5,7.5,-104.0,-106.0
10,50749.0,10000432.0,10001154.0,1.5,8.0,-153.0,143.0
11,50748.0,10006179.0,10006255.0,-1.5,9.0,123.0,-133.0
12,50746.0,10000805.0,10003284.0,1.5,7.5,-215.0,195.0
0,50753.0,10005315.0,10005848.0,1.5,8.0,-106.0,-104.0
1,53572.0,10000843.0,10000372.0,-1.5,9.0,140.0,-150.0
2,50758.0,10000466.0,10001350.0,-1.5,7.0,210.0,-230.0
3,50752.0,10002077.0,10000249.0,-1.5,6.5,117.0,-127.0
4,50756.0,10000569.0,10001253.0,1.5,9.5,-137.0,127.0
5,50751.0,10001303.0,10001017.0,1.5,8.5,-129.0,119.0
6,50754.0,10004421.0,10000342.0,-1.5,8.5,185.0,-200.0
7,50764.0,10006824.0,10001157.0,-1.5,7.5,148.0,-158.0
8,50760.0,10007081.0,10000364.0,-1.5,10.5,142.0,-152.0
9,50755.0,10001065.0,10006766.0,1.5,8.5,-107.0,-103.0
10,50759.0,10000007.0,10005526.0,1.5,7.5,-107.0,-103.0
11,50757.0,10002091.0,10000628.0,-1.5,8.5,107.0,-117.0
12,50763.0,10000469.0,10001203.0,1.5,8.0,-158.0,148.0
13,50762.0,10000276.0,10005232.0,-1.5,7.5,182.0,-193.0
14,50761.0,10000787.0,10007391.0,1.5,8.0,-186.0,176.0
0,50772.0,10000622.0,10001333.0,-1.5,9.0,109.0,-119.0
1,50767.0,10008561.0,10000519.0,1.5,8.5,-120.0,110.0
2,50777.0,10003142.0,10001162.0,-1.5,9.5,135.0,-145.0
3,50774.0,10003550.0,10005351.0,-1.5,11.5,140.0,-150.0
4,50769.0,10001072.0,10000506.0,1.5,9.0,-140.0,130.0
5,50773.0,10000020.0,10006816.0,1.5,7.5,-108.0,-102.0
6,50776.0,10003360.0,10000746.0,1.5,8.0,-150.0,140.0
7,50768.0,10001353.0,10000330.0,-1.5,8.0,257.0,-285.0
8,50766.0,10000850.0,10000421.0,1.5,8.0,-110.0,100.0
9,50779.0,10005587.0,10000193.0,-1.5,8.0,153.0,-163.0
10,50770.0,10007263.0,10001202.0,1.5,11.5,-112.0,102.0
11,50765.0,10001290.0,10000101.0,-1.5,8.5,124.0,-134.0
12,50775.0,10000807.0,10005349.0,1.5,8.5,-127.0,117.0
13,50778.0,10007245.0,10006571.0,-1.5,7.5,-105.0,-105.0
14,50771.0,10006438.0,10000071.0,-1.5,7.5,166.0,-176.0
0,50785.0,10002066.0,10003212.0,-1.5,8.5,175.0,-185.0
1,50783.0,10001161.0,10005294.0,1.5,9.5,-144.0,134.0
2,50781.0,10005327.0,10000328.0,-1.5,8.5,190.0,-210.0
3,50784.0,10000367.0,10001337.0,-1.5,9.0,170.0,-180.0
4,50780.0,10000886.0,10000153.0,-1.5,9.0,-115.0,105.0
5,50782.0,10000573.0,10001025.0,1.5,9.5,-150.0,140.0
6,50786.0,10005879.0,10001993.0,-1.5,9.0,210.0,-230.0
7,50787.0,10001986.0,10000842.0,1.5,8.0,-135.0,125.0
0,50797.0,10000425.0,10001234.0,-1.5,7.5,183.0,-195.0
1,50793.0,10005835.0,10001345.0,-1.5,8.5,163.0,-173.0
