idfangraphs,mlbid,Name,Year,Team,Age,ERA,WHIP,W,L,W%,G,GS,CG,SHO,IP,H,ER,HR,BB,SO,SO%,BB%,R
16502,642232,Ryan Yarbrough,2022,TBR,31,4.65,1.25,7,8,0.47,19,19,0,0,151,151,78,19,38,125,19.40%,5.50%,86
4505,519455,Jordan Zimmermann,2022,FA,36,5.43,1.47,2,4,0.33,8,8,0,0,58,65,35,8,20,50,19.40%,7.60%,39
3284,434671,Anibal Sanchez,2022,FA,38,5,1.44,5,5,0.5,11,11,0,0,72,77,40,12,27,62,19.30%,8.30%,44
12880,542881,Tyler Anderson,2022,LAD,33,4.35,1.29,6,7,0.46,27,27,0,0,157,153,76,17,50,129,19.20%,6.80%,84
7410,457918,J.A. Happ,2022,FA,40,5.02,1.39,9,8,0.53,25,25,0,0,140,146,78,26,49,118,19.20%,7.80%,86
6902,527048,Martin Perez,2022,TEX,31,4.61,1.42,9,10,0.47,19,19,0,0,123,128,63,22,47,104,19.20%,8.50%,69
10811,592314,Mike Foltynewicz,2022,FA,31,5.07,1.3,5,10,0.33,19,19,0,0,126,123,71,27,41,104,19.10%,7.50%,78
3254,502188,Jeff Samardzija,2022,FA,37,4.78,1.28,3,4,0.43,10,10,0,0,64,61,34,12,21,52,19.10%,7.60%,37
13834,621219,Alec Mills,2022,CHC,31,4.63,1.33,8,8,0.5,27,27,1,1,158,159,81,20,51,130,19.00%,7.50%,89
20369,666159,Matt Manning,2022,DET,29,4.95,1.4,6,8,0.43,25,25,0,0,138,141,76,15,52,115,19.00%,8.60%,84
10130,502190,Mike Leake,2022,FA,35,4.35,1.32,3,3,0.5,8,8,0,0,60,62,29,10,17,49,19.00%,6.50%,32
12049,543294,Kyle Hendricks,2022,CHC,33,4.1,1.25,12,9,0.57,28,28,1,1,165,166,75,26,40,132,18.90%,5.20%,83
8779,489119,Wade Miley,2022,CHC,36,3.91,1.31,10,9,0.53,27,27,0,0,155,149,67,18,54,126,18.90%,8.10%,74
27458,547942,Kwang-hyun Kim,2022,FA,34,4.1,1.26,8,6,0.57,20,20,0,0,115,103,52,14,42,92,18.80%,8.50%,57
13896,623167,Chris Flexen,2022,SEA,28,4.31,1.29,11,7,0.61,30,30,0,0,171,171,82,17,50,137,18.70%,6.60%,90
18356,642545,Jaime Barria,2022,LAA,26,4.5,1.34,4,5,0.44,15,15,0,0,110,110,55,12,37,89,18.70%,7.70%,61
19244,608344,Cole Irvin,2022,OAK,28,4.47,1.35,8,11,0.42,25,25,0,0,141,150,70,20,40,113,18.50%,6.40%,77
4153,453562,Jake Arrieta,2022,FA,36,5.6,1.56,7,11,0.39,22,22,0,0,119,137,74,21,49,100,18.50%,8.90%,81
11713,518774,Matt Harvey,2022,FA,33,5.93,1.55,6,12,0.33,24,24,0,0,126,151,83,21,44,104,18.10%,7.60%,91
23798,677976,Randy Dobnak,2022,MIN,27,4.83,1.35,3,4,0.43,15,15,0,0,123,128,66,6,38,96,17.90%,7.00%,73
1994,467100,Ivan Nova,2022,FA,35,5.06,1.44,4,4,0.5,10,10,0,0,64,69,36,10,23,50,17.70%,8.00%,40
11589,570632,Jose Urena,2022,MIL,31,5.14,1.48,4,7,0.36,15,15,0,0,105,112,60,13,43,83,17.60%,9.00%,66
7754,571666,Mike Fiers,2022,FA,37,4.62,1.37,6,4,0.6,12,12,0,0,78,80,40,13,27,60,17.60%,7.80%,44
4930,452657,Jon Lester,2022,FA,38,4.78,1.46,8,7,0.53,25,25,0,0,145,159,77,24,53,112,17.30%,8.10%,85
17964,656457,Tyler Gilbert,2022,ARI,29,4.61,1.33,4,4,0.5,13,13,1,1,104,97,53,9,41,78,17.30%,8.40%,58
14663,592346,Chi Chi Gonzalez,2022,FA,30,5.58,1.45,4,8,0.33,16,16,0,0,108,118,67,17,39,83,17.20%,8.00%,74
15488,622608,Antonio Senzatela,2022,COL,27,4.33,1.34,8,9,0.47,28,28,1,0,153,160,74,17,45,112,16.80%,6.60%,81
8223,474463,Brett Anderson,2022,FA,34,4.24,1.34,7,9,0.44,22,22,0,0,119,122,56,15,37,85,16.50%,7.10%,62
9434,572971,Dallas Keuchel,2022,CHW,34,4.65,1.37,10,8,0.56,24,24,0,0,141,144,73,18,49,97,15.70%,8.00%,80
12703,545333,Trevor Bauer,2022,FA,31,6.5,2,8,7,0.53,1,1,1,1,1,1,1,19,1,1,11.00%,20.00%,1
15036,608328,Chase De Jong,2022,FA,29,5.49,1.45,4,6,0.4,13,13,0,0,82,85,50,15,34,1,0.22%,0.09%,55
14975,641771,Chad Kuhl,2022,COL,30,4.45,1.37,6,8,0.43,26,26,0,0,99,88,49,17,48,1,0.22%,0.11%,54
13619,596001,Jakob Junis,2022,SFG,30,5.04,1.4,4,6,0.4,18,18,0,0,75,80,42,13,25,1,0.22%,0.08%,46
15906,626929,Lewis Thorpe,2022,MIN,27,4.66,1.45,1,2,0.33,19,19,0,0,83,85,43,4,35,1,0.20%,0.09%,47
